,ID,Nodes,cables,circuits,frequency,power,voltage,wires,source,barrier,disused:power,end_date,generator:source,generator:type,landuse,name,name:da,name:fr,name:ru,note:de,operator,plant:output:electricity,ref,start_date,wikidata,wikipedia,line,removed:power,removed:voltage,location,substation,layer,was:voltage,highway,oneway,building,fixme,power:demolished,maxspeed,surface,removed:line,from,to,abandoned:power,note,website,demolished:power,description,capacity,fee,power_supply,sanitary_dump_station,tourism,water_point,artwork_type,area,wheelchair,caravans,dog,sanitary_dump_station:chemical_toilet,seamark:cable_submarine:category,seamark:type,plant:output:hot_water,plant:source,disused:substation,abandoned:cables,abandoned:voltage,abandoned,building:levels,height,material,year_of_construction,razed:power,man_made,street_cabinet,plant:method,ref:EU:ENTSOE_EIC,lines,service,seamark:cable_area:category,seamark:restricted_area:restriction,generator:method,transformer,abandoned:substation,description:de,historic,object:postcode,object:street,object:village,owner,roof:shape,construction:power,object:town,old_operator,fuel:biogas,fuel,seamark:source,seamark:cable_overhead:category,seamark:cable_overhead:clearance_height_safe,name:signed,tents,official_name,opening_date,seamark:name,seamark:production_area:category,seamark:production_area:condition,construction:substation
44,44353396,"['3763237114', '3763237101', '563682998', '3763237089', '563682987', '3763237129']",3, ,50,line,110000, , , , , , , , , , , , , , , , , , , ,busbar, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
45,44822896,"['568302101', '568078036', '568302103']", , , ,line,110000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
46,44867069,"['568826218', '298252441', '298251941', '298253350', '298252085', '4492886374']",3, ,50,line,110000,single, , , , , , , , , , , , , , ,123, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
47,45764170,"['582813576', '1756434324', '1756009647', '1756009651', '602568313', '602568314', '1756434825']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
48,46159252,"['588518700', '588522485']",3, , ,minor_line,30000,single, , , , , , , , , , , , ,Schleswig-Holstein Netz, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
49,48990731,"['247773774', '247774945', '3197608626', '350224049', '1471550633']",3, ,50,line,110000,double, , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
50,48990732,"['247773774', '621709106', '3197608628', '350223950', '1471550637']",3, ,50,line,110000,double, , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
51,48990739,"['1471447740', '621709451', '1471447720', '621709454', '1471447690', '1471447677', '1471447665', '621709456', '1471447652', '621709459', '6535455069']",3, ,50,line,110000, , , , , , , , , , , , , , , , , , , ,busbar, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
52,48990743,"['1471447747', '621709519', '1471447723', '621709477', '1471447693', '1471447666', '319956476', '1471447659', '621709569', '6535455068']",3, ,50,line,110000, , , , , , , , , , , , , , , , , , , ,busbar, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
53,49876671,"['354687539', '360884550']",3, ,50,line,110000,single, , , , , , , , , , , , ,EON_Netz, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
54,50844966,"['646621246', '646621245', '646621241', '646621240', '646621246']", , , ,substation, , , , , , , , , , , , , , ,Schleswig-Holstein Netz, , , , , , , , , ,distribution, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
55,52102636,"['663993620', '663993591', '663993602']", , ,50,line,110000, ,Yahoo, , , , , , , , , , , , , ,Tr, , , ,bay, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
56,52102638,"['663993603', '663993594', '663993623']", , ,50,line,110000, ,Yahoo, , , , , , , , , , , , , ,Tr, , , ,bay, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
