,ID,Members,cables,frequency,from,name,operator,operator:wikidata,route,to,type,via,voltage,wires,operator:wikipedia,ref,network,fixme,colour,note,planned
166,7944851,"['35176751', '495561004', '449010724', '536200638', '536200636', '358953280', '338361032', '338361033', '338361034', '133684218', '338361035', '25306938']", , , ,Audorf - Kummerfeld - Schwarz,TenneT TSO GmbH,Q1662830,power,Kummerfeld,route, ,380000, , ,317 schwarz, ,genaue Leitungszuordnung am UW Audorf nicht vor Ort geprüft; Verlauf bei Kummerfeld unklar/muss vor Ort geprüft werden, , , 
167,7944852,"['35176751', '522668213', '556508311', '536200636', '536200638', '449010724', '495561003', '22720647']", , , ,Audorf - Hamburg Nord,TenneT TSO GmbH,Q1662830,power, ,route, ,380000, , ,317, ,genaue Leitungszuordnung am UW Audorf nicht vor Ort geprüft, , , 
168,8099253,"['22720647', '952694802', '568538868', '112979023']", , , , , , ,power, ,route, , , , , , , , , , 
169,8099254,"['49209330', '568531772', '22984006', '48990732', '22984348', '952694802']",3,50, ,39,Stromnetz Hamburg GmbH,Q18028215,power, ,route, ,110000,single, ,39, , , , , 
170,8099255,"['568531772', '22984006', '48990731', '49209330', '22984348', '952694802']",3,50, ,38,Stromnetz Hamburg GmbH,Q18028215,power, ,route, ,110000,single, ,38, , , , , 
171,8208716,"['133660540', '579753238', '579753240', '29342292']",3,50, , ,Schleswig-Holstein Netz AG, ,power, ,route, ,30000,single, , , , , , , 
172,8208717,"['133660540', '313714315', '579753238', '29342292']",3,50, , ,Schleswig-Holstein Netz AG, ,power, ,route, ,30000,single, , , , , , , 
173,8209924,"['29342449', '98399148', '98399152', '490426961', '29342344']",3,50, , , , ,power, ,route, ,110000,single, , , , , , , 
174,8209925,"['29342344', '490426960', '98399152', '29342340', '29342449']",3,50, , , , ,power, ,route, ,110000,single, , , , , , , 
175,8240440,"['217974209', '889061693', '235735184', '79088887']", , , ,Baltic Cable, , ,power, ,route, , , , , , , , ,only line, 
176,10170520,"['34497125', '29344421', '736346133', '736702758', '207400751', '52430005', '157418967', '33019126', '141447573', '1072574876', '241611436', '734243796', '734243794', '32269642', '23485187', '664870769', '29344008']",3,50, , , , ,power, ,route, ,110000,single, ,4143 gelb, , ,yellow, , 
177,10170521,"['24502420', '318302070', '35710364', '35710363', '24502478', '32269642', '207400751', '736702758', '736346133', '736346136', '736346134']",3,50, , ,Avacon Netz GmbH, ,power, ,route, ,110000,single, ,1213 grün, , ,green, , 
